sku_id,raw_names,match_name,match_score,final_sku_name,decision
SKU011,"officelink compact kbd wireless,compact keyboard, wireless",compact keyboard wireless,78.04878049,compact keyboard,APPROVED
SKU012,lcd monitor 22 inch,lcd monitor inch,77.41935484,lcd monitor 22 inch,APPROVED
SKU013,15ft ethernet cable,ethernet cable,84.84848485,ethernet cable,AUTO
SKU014,"proconnect gaming headset wifi,gaming headset, wireless",gaming headset wireless,75.67567568,gaming headset,APPROVED
SKU015,32 inch lcd monitor view master,inch lcd monitor view master,62.22222222,32 inch lcd monitor view master,APPROVED
SKU016,usb-c to hdmi adapter - 4k,usb c hdmi adapter,72.72727273,usb-c to hdmi adapter - 4k,APPROVED
SKU017,"techflow mechanical keyboard blue switch,techflow mechanical kbd blue swtch",techflow mechanical kbd blue switch,71.69811321,mechanical keyboard blue switch,APPROVED
SKU018,officelink wired headset,officelink wired headset,85.71428571,officelink wired headset,AUTO
SKU019,512gb external ssd data vault,external ssd data vault,65.11627907,512gb external ssd data vault,APPROVED
SKU020,"4k monitor 27""",monitor,70,"4k monitor 27""",APPROVED
SKU101,"wireless keyboard black,techflow wireless keyboard black,wireless keyboard techflow,wireless kbrd blck,wireless keyboard techflow black,wireless keyboard by techflow,wirless kyeboard black,tf black wireless kb,brand new wireless black keyboard,techflow wireless kb black,wireless & keyboard black - tf,techflow wireless mechanical keyboard black,tf wireless keyboard black,wireless keyboard & mouse set,techflow: brand new wireless keyboard black,tf black wireless keyboard,tf wireless keyboard,wireless keybord blck",tf wireless keyboard,91.89189189,wireless keyboard black,AUTO
SKU102,"viewmaster led monitor 24"",monitor 24"" led  viewmaster,led monitor 24"" viewmaster,viewmaster led monitr 24in,connectpro led24"" monitor,tf 24in led monitor,connectpro 24 in led monitr,24"" led monitor - viewmaster,viewmaster led monitor 24in,viewmstr monitor 24in,24 inch led monitor viewmaster,viewmaster 24in led monitor,techflow led monitr 24',viewmaster lcd moniter 24 inch,viewmaster 24"" led monitor,led mon 24in, connectpro,24"" led monitor,connectpro 24"" led monitor,led monitor 24 inch,24 inch lcd monitr",led monitor,88,"led monitor 24""",AUTO
SKU103,"usb-c cable - 6ft,hdmi cabl 6'' connectpro,hdmi cable 6 feet connectpro,6 ft usb-c cable connectpro,usb-c 6ft cable - viewmaster,usb-c 6feet cabl,usb c cable 6ft connectpro,usb-c cale, 6f,dvlt 6ft cable pack,connectpro usb-c cable - 6ft,usb-c cable, 6ft pack,usb-c cable 6ft,connectpro hdmi cable 6ft,usb-c cable & lamp,usb-c cable 6 ft pack,usb-c cable 6""",usb c cable,81.81818182,usb c cable,AUTO
SKU104,"usb-c hdmi adapter by dv,hd webcam 1080p,4k webcam hd,datavault hd webcam,1080p web camera officelink,datavault 4k webcam,hd web camera 1080p,datavault hd webkami 1080p,webcam 4k hd,datavault 4k cam,usb-c adapter techflow to hdmi,hd webcam 1080p  datavault,4k webcam hd1080p datavault,datavault hd webcam 1080p,hd webcam 1080p techflow,hd webcam,4k webcam w/ hd data vault,4k webcam hd 1080p,techflow hdmi usb-c adapter,officelnk hd webcam full hd 1080p",hd webcam,100,hd webcam,AUTO
SKU105,"wireless headset over-ear,techflow webcam hd 1080p,headset offcelink wirless,ol gaming headset wireless,hd 1080 webcam officelink,proconnect gaming headset wireles,1080p hd webcam techflo,officelink wireless headset,officelink gaming headset wireless,office link headset,officelink gaming headset, wireless,wireless gaming headset,gaming headset wireless,procnect wired gaming headset,wireless headset (gaming) & speakers,officelink wirless hdset",wireless headset ear,88.88888889,wireless gaming headset,AUTO
SKU106,"usb-c to hdmi adapter,usb-c to hdmi adapter proconnect,connectpro usb-c adaptr to hdmi 4k,techflow usb-c to hdmi adapter  compact,proconnect headset gaming wireless,wireless gaming headset proconnect,usb-c to hdmi 4k adapter - proconnect,usb-c to hdmi adptr - connectpro,hdmi adapter usb-c to hdmi,usb-c to hdmi adapter 4k,usb-c hdmi adapter 4k,usb-c to hdmi adapter - 4k,gaming wireless headset,hdmi adapter, usb-c,proconnect usb-c to hdmi",usb c hdmi adapter,61.53846154,usb-c to hdmi adapter,APPROVED
SKU107,"rgb mechanical keyboard full size,external ssd techflow 1tb,external usb drive, 1tb - datavault,mechanical keyboard techflow,external drive 1tb,tech flow external hard drive 1 t b,rgb mechanical kb full-size,techflow mehanical keyboard rgb,techflow mech keyboard,techflow mech. keyboard rgb,1tb ext. usb drive,techflow 1tb ext drive,techflow keyboard mechanical,datavult ext drive 1tb,mech. keyboard rgb,techflow external ssd - 1tb",techflow mech keyboard,87.17948718,rgb mechanical keyboard,AUTO
SKU108,"lcd monitor - 27 inch,viewmaster lcd monitor 27inch,lcd monitor 27 inch,mechanical keyboard rgb,viewmaster lcd monitr 27 inch,wired mechanical keyboard,27"" lcd monitor - viewmaster,lcd monitor - 27"",viewmaster lcd monitor 27in,tf rgb mech kb,27 inch lcd viewmast monitor,mechanical keybord rbg,ethernet cable 10 ft pack,compact viewmaster lcd monitor,lcd viewmaster monitor 27"",mech keyboard wired connectpro,mechanical keyboard compact",lcd monitor,88,lcd monitor - 27 inch,AUTO
SKU109,"tf enet cable packet 10ft,lcd monitor 27"" viewmaster,connectpro eth cable 10',ethernet cabl 10ft,proconnect ethernet cable 10ft,ethernet cable 10 ft,viewmaster lcd 27in,displayport connectpro cable 10ft,20ft connectpro cable displayport,connectpro ethernetcable 10ft,connectpro gaming headset red,27"" lcd monitr,ethernet cabk 10ft,lcd monitor 27 inch,gaming headset  connectpro,gaming headset connectpro,displyport cable 10 ft connectpro",connectpro eth cable,82.05128205,"lcd monitor 27""",AUTO
SKU110,"ethernet cable - 10ft,datavault usb drive 32gb,32gb usb drive dv,datavault 1tb ext hard drrv,datavault ethernet cable 10 ft,datavault 64gb usb flash drive,1tb external hard drive portable,4k webcam wide angle,32gb usb datavault drive,1tb extern harddrive,data vault external hard drive,64gb usb flash drive data vault,external hard drive 1tb,4k webcam wide-angle office lnk,10ft ethernet cable, datavault",datavault usb drive,76.92307692,usb drive 32gb,APPROVED
SKU111,"ultra hd 4k webcam  officelink,officelink wireless earbuds,wireless earbuds officelink,wire headset officelink,datavault 27"" 4k monitor,datvault 4k 27 inch monitor,27"" 4k,officelink wired headset,4k webcam (ultra hd)  officelink",wired headset officelink,60.46511628,ultra hd 4k webcam,APPROVED
SKU112,"cable displayport 3f proconnect,bluetooth headset for office,proconnect ethernet cable cat6 15 ft,proconnect ethernet cable cat 6 15ft,connectpro dp cable 3ft,office bluetooth headset",cable displayport proconnect,68.08510638,cable displayport,APPROVED
SKU113,"proconnect usb-c hub, 7 port,techflow compact keyboard,usb-c hub - 7 ports, proconnect,techflow rgb mechnical keybord,techflow rgb mechanical keyboard,techflow kb compact,proconnect wireless ear-buds,wireless earbuds & white > proconnect,proconnect wireless earbuds white",techflow kb compact,68.42105263,usb-c hub,APPROVED
SKU114,"viewmaster 4k monitor 32"",viewmaster 22"" lcd,22 inch viewmaster lcd mon,viewmaster 22 inch lcd monitor,viewmaster 720p hd webcam,4k led monitor 32"" viewmaster,viewmaster hd webcam & 720p,512 gb portable ssd,portable ssd 512gb",viewmaster monitor,85.71428571,22 inch lcd monitor,AUTO
SKU115,"hdmi cable 9ft connectpro,ergonomic wirless mouse & keybord,ergonomic wireless mouse & keyboard,wired mouse officelink optical,wired mouse  officelink,usb-c cable connectpro 3 ft,wired optical mouse - officelink,usb-c 3 foot cable connectpro",usb c foot cable connectpro,62.22222222,wireless mouse & keyboard,APPROVED
SKU116,"datavault usb drive 64gb,1tb external hdd datavault,datavault usb drive - 64gb,datavault hdmi 15 ft cable,hdmi cable 15 ft,external drive 1tb datavault,datavault 2tb ext hdd,datavault external hdd 2tb",external hdd datavault,81.81818182,usb drive,APPROVED
SKU117,"officelink wired office headset,officelink webcam 4k resolution,webcam 4k officelink,officelink wide angle webcam,wide angle conference webcam",webcam officelink,91.89189189,webcam 4k,AUTO
SKU118,"proconnect wired headset office,proconnect usb-c charger 45w,pro connect gaming headset 5.1 suround,5.1 surround gaming headset,proconnect headset wired",proconnect headset wired,85.71428571,proconnect headset,AUTO
SKU119,"65w power adapter,power adapter 65 watt,techflow rgb mechanical keybord,techflow compact keyboard white,rgb techflow keyboard mechanical",techflow compact keyboard white,70.83333333,power adapter 65 watt,APPROVED
SKU120,"view master curved monitor 32"",viewmaster portable storage drive 500gb,portable storage drive 500gb ""viewmaster"",viewmaster lcd mon 22in,portable storage drive by vm,thunder bolt cable 3 feet,thunderbolt cable 3ft,viewmaster 22"" lcd monitor",viewmaster portable storage drive,65.51724138,"curved monitor 32""",APPROVED
